O,N,S,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,mact,DV,I/m,Cs
21.55,3.29,0,1140.8,0.86,0.157,0.82,4,2.5,1.8,0.1,90.2
21.55,3.29,0,1140.8,0.86,0.157,0.82,4,2.5,1.8,0.25,86.3
21.55,3.29,0,1140.8,0.86,0.157,0.82,4,2.5,1.8,0.5,79.9
21.55,3.29,0,1140.8,0.86,0.157,0.82,4,2.5,1.8,1,70.3
21.55,3.29,0,1140.8,0.86,0.157,0.82,4,2.5,1.8,2,64.8
21.55,3.29,0,1140.8,0.86,0.157,0.82,4,2.5,1.8,5,51.5
21.55,3.29,0,1140.8,0.86,0.157,0.82,4,2.5,1.8,10,38.5
21.55,3.29,0,1140.8,0.86,0.157,0.82,4,2.5,1.8,20,23.3
17.66,3.01,1.12,508,0.34,0.099,0.86,4,2.5,1.8,0.1,69.1
17.66,3.01,1.12,508,0.34,0.099,0.86,4,2.5,1.8,0.25,60.1
17.66,3.01,1.12,508,0.34,0.099,0.86,4,2.5,1.8,0.5,56.4
17.66,3.01,1.12,508,0.34,0.099,0.86,4,2.5,1.8,1,47.4
17.66,3.01,1.12,508,0.34,0.099,0.86,4,2.5,1.8,2,40.9
17.66,3.01,1.12,508,0.34,0.099,0.86,4,2.5,1.8,5,34.2
17.66,3.01,1.12,508,0.34,0.099,0.86,4,2.5,1.8,10,19.8
17.66,3.01,1.12,508,0.34,0.099,0.86,4,2.5,1.8,20,9.5
16.08,2.82,1.78,1384.7,0.97,0.17,0.89,4,2.5,1.8,0.1,136.3
16.08,2.82,1.78,1384.7,0.97,0.17,0.89,4,2.5,1.8,0.25,126.4
16.08,2.82,1.78,1384.7,0.97,0.17,0.89,4,2.5,1.8,0.5,120.3
16.08,2.82,1.78,1384.7,0.97,0.17,0.89,4,2.5,1.8,1,112.6
16.08,2.82,1.78,1384.7,0.97,0.17,0.89,4,2.5,1.8,2,108.4
16.08,2.82,1.78,1384.7,0.97,0.17,0.89,4,2.5,1.8,5,100.4
16.08,2.82,1.78,1384.7,0.97,0.17,0.89,4,2.5,1.8,10,94.5
16.08,2.82,1.78,1384.7,0.97,0.17,0.89,4,2.5,1.8,20,86.5
8.2,5.3,0,879,0.447,1.54,2.27,2,1,1.6,0.1,136.8
8.2,5.3,0,879,0.447,1.54,2.27,2,1,1.6,0.5,110.9
8.2,5.3,0,879,0.447,1.54,2.27,2,1,1.6,1,102.6
8.2,5.3,0,879,0.447,1.54,2.27,2,1,1.6,5,76.1
8.2,5.3,0,879,0.447,1.54,2.27,2,1,1.6,10,66.5
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,0.05,109.66
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,0.1,93.3
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,0.2,84.6
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,0.3,81
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,0.5,76.3
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,1,71.6
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,2,67.6
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,3,65.1
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,5,62.4
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,10,59.5
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,15,58.4
5.68,1.49,0,1640.1,1.41,0.489,0.95,2,2,1.6,20,57.1
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,0.1,133.7
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,0.2,102.5
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,0.5,84.3
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,1,75
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,2,69.1
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,5,61.7
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,10,56.6
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,20,51.9
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,50,45.6
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,100,39.7
11.5,6.7,0,642,1.03,0.17,0.964,1,2,1.6,200,30.6
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,0.1,104.4
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,0.2,83
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,0.5,69.7
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,1,61.7
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,2,56
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,5,50.4
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,10,46.6
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,20,43.7
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,50,39.1
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,100,35.4
14.9,3.1,0,620,0.86,0.178,0.962,1,2,1.6,200,30.4
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,0.1,92.4
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,0.2,73.1
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,0.5,62.4
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,1,56
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,2,51.3
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,5,45.7
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,10,42.3
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,20,38.9
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,50,33.3
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,100,28.7
11.2,4.2,0,697,0.83,0.277,0.958,1,2,1.6,200,27.2
12.04,8.29,0,1530.9,0.96,0.627,0.86,4,2.4,1.6,0.1,204.7
12.04,8.29,0,1530.9,0.96,0.627,0.86,4,2.4,1.6,0.2,181.5
12.04,8.29,0,1530.9,0.96,0.627,0.86,4,2.4,1.6,0.5,165.9
12.04,8.29,0,1530.9,0.96,0.627,0.86,4,2.4,1.6,1,152.7
12.04,8.29,0,1530.9,0.96,0.627,0.86,4,2.4,1.6,2,141.1
12.04,8.29,0,1530.9,0.96,0.627,0.86,4,2.4,1.6,5,134.2
12.04,8.29,0,1530.9,0.96,0.627,0.86,4,2.4,1.6,10,128.6
20.61,3.95,0,544.83,0.26,4.783,0.96,2,2,1.8,0.1,134.5
20.61,3.95,0,544.83,0.26,4.783,0.96,2,2,1.8,0.2,110.2
20.61,3.95,0,544.83,0.26,4.783,0.96,2,2,1.8,0.4,93
20.61,3.95,0,544.83,0.26,4.783,0.96,2,2,1.8,0.5,86.7
20.61,3.95,0,544.83,0.26,4.783,0.96,2,2,1.8,1,72.9
20.61,3.95,0,544.83,0.26,4.783,0.96,2,2,1.8,2,57
20.61,3.95,0,544.83,0.26,4.783,0.96,2,2,1.8,3,48
20.61,3.95,0,544.83,0.26,4.783,0.96,2,2,1.8,4,41.5
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,0.1,156.54
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,0.2,132.3
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,0.3,111.55
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,0.4,105.4
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,0.5,98.5
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,1,86.8
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,2,70.5
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,3,59.2
18.15,3.51,0,648.22,0.32,4.516,1.01,2,2,1.8,4,51.8
15.17,1.8,0,225.22,0.1,6.714,1.08,2,2,1.8,0.1,84.5
15.17,1.8,0,225.22,0.1,6.714,1.08,2,2,1.8,0.2,63.4
15.17,1.8,0,225.22,0.1,6.714,1.08,2,2,1.8,0.4,50.7
15.17,1.8,0,225.22,0.1,6.714,1.08,2,2,1.8,0.5,45
15.17,1.8,0,225.22,0.1,6.714,1.08,2,2,1.8,1,34.5
15.17,1.8,0,225.22,0.1,6.714,1.08,2,2,1.8,2,24.5
15.17,1.8,0,225.22,0.1,6.714,1.08,2,2,1.8,3,19.7
15.17,1.8,0,225.22,0.1,6.714,1.08,2,2,1.8,4,17
11.92,0,0,2228,1.07,1.488,1.5,1,2,1.75,0.2,153
11.92,0,0,2228,1.07,1.488,1.5,1,2,1.75,0.5,125
11.92,0,0,2228,1.07,1.488,1.5,1,2,1.75,1,110
11.92,0,0,2228,1.07,1.488,1.5,1,2,1.75,2,98
11.92,0,0,2228,1.07,1.488,1.5,1,2,1.75,5,84
11.92,0,0,2228,1.07,1.488,1.5,1,2,1.75,10,75
9.64,3.44,0,1624,0.918,1.878,0.999,1,2,1.6,0.1,119.9
9.64,3.44,0,1624,0.918,1.878,0.999,1,2,1.6,0.2,108.3
9.64,3.44,0,1624,0.918,1.878,0.999,1,2,1.6,0.5,100.2
9.64,3.44,0,1624,0.918,1.878,0.999,1,2,1.6,1,94.6
9.64,3.44,0,1624,0.918,1.878,0.999,1,2,1.6,2,90.4
9.64,3.44,0,1624,0.918,1.878,0.999,1,2,1.6,5,84.8
9.64,3.44,0,1624,0.918,1.878,0.999,1,2,1.6,20,81.1
8.42,1.64,0,1949,1.133,0.845,0.917,1,2,1.6,0.1,159.9
8.42,1.64,0,1949,1.133,0.845,0.917,1,2,1.6,0.2,139.2
8.42,1.64,0,1949,1.133,0.845,0.917,1,10,1.6,0.5,124.8
8.42,1.64,0,1949,1.133,0.845,0.917,1,10,1.6,1,116
8.42,1.64,0,1949,1.133,0.845,0.917,1,10,1.6,2,109.9
8.42,1.64,0,1949,1.133,0.845,0.917,1,10,1.6,5,101.9
8.42,1.64,0,1949,1.133,0.845,0.917,1,10,1.6,20,94
5.52,0.89,0,2276,1.331,0.265,0.872,1,2,1.6,0.1,114.2
5.52,0.89,0,2276,1.331,0.265,0.872,1,2,1.6,0.2,104.8
5.52,0.89,0,2276,1.331,0.265,0.872,1,2,1.6,0.5,95.6
5.52,0.89,0,2276,1.331,0.265,0.872,1,2,1.6,1,90
5.52,0.89,0,2276,1.331,0.265,0.872,1,2,1.6,2,86.8
5.52,0.89,0,2276,1.331,0.265,0.872,1,2,1.6,5,82.4
5.52,0.89,0,2276,1.331,0.265,0.872,1,2,1.6,20,78.5
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,0.05,108.5
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,0.1,85.9
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,0.2,73.1
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,0.3,68.7
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,0.5,65
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,1,60.8
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,2,55.3
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,3,52.7
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,5,49.2
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,10,44.5
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,15,41.6
6.99,1.59,0,2465.9,1.29,1.115,0.912,2,2,1.8,20,41.6
4.81,1.09,0,972.4,1.67,0.21,0.82,2,2.5,1.6,0.2,104.9
4.81,1.09,0,972.4,1.67,0.21,0.82,2,2.5,1.6,0.5,91
