O,N,B,S,P,SSA,Vt,mic/mes,ID/IG,Elyte,CurCol,Active mass loading,DV,I/m,Cs
,0,0,0,0,3401,2.03,1,2.272727273,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,0.1,305
,0,0,0,0,3401,2.03,1,2.272727273,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,0.2,204
,0,0,0,0,3401,2.03,1,2.272727273,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,0.3,174
,0,0,0,0,3401,2.03,1,2.272727273,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,0.5,147
,0,0,0,0,3401,2.03,1,2.272727273,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,1,127
,0,0,0,0,3401,2.03,1,2.272727273,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,2,115
,0,0,0,0,3401,2.03,1,2.272727273,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,3,108
,0,0,0,0,3401,2.03,1,2.272727273,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,5,101
,0,0,0,0,3197,1.8,0.978,2.5,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,0.2,179
,0,0,0,0,3197,1.8,0.978,2.5,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,5,45
,0,0,0,0,1904,0.76,9.857,2.127659574,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,0.2,125
,0,0,0,0,1904,0.76,9.857,2.127659574,2M ZnSO4 + 1M Na2SO4,Carbon cloth,0.9,1.79,5,59
,0,0,0,0,320.3,0.3686,0.612,0.975,2M ZnSO4,Carbon cloth,1.25,1.6,0.1,62
7.15,3.52,0,0,0,1546.1,0.5753,14.558,1.029,2M ZnSO4,Carbon cloth,1.25,1.6,0.1,85
8.12,3.79,3.66,0,0,1315.2,0.5116,9.33,1.038,2M ZnSO4,Carbon cloth,1.25,1.6,0.1,114
,,0,0,0,819.78,0.65,3.336,,2M ZnSO4,stainless-steel,3,1.6,0.1,71.53
,,0,0,0,1057.53,0.94,4.657,,2M ZnSO4,stainless-steel,3,1.6,0.1,100.69
7.67,7.09,0,0,0,1164.65,0.91,3.376,,2M ZnSO4,stainless-steel,3,1.6,0.1,125.69
7.67,7.09,0,0,0,1164.65,0.91,3.376,,2M ZnSO4,stainless-steel,3,1.6,10,54.86
,,0,0,0,1274.87,0.83,6.896,,2M ZnSO4,stainless-steel,3,1.6,0.1,102.78
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.1,90.2
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.25,86.3
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.5,79.9
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,1,70.3
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,2,64.8
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,5,51.5
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,10,38.5
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,20,23.3
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.1,69.1
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.25,60.1
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.5,56.4
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,1,47.4
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,2,40.9
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,5,34.2
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,10,19.8
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,20,9.5
16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.1,136.3
16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.25,126.4
16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel,2.5,1.8,0.5,120.3
