O,N,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,mact,DV,I/m,Cs
3.9,9.7,844,0.41,3.419,0.99,1,1.25,2,0.1,189.4
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,0.05,181.67
12.04,8.29,1530.9,0.96,0.627,0.86,3,2.4,1.6,0.2,181.5
6.1,7.2,1843,1.1,0.447,1.01,2,1,1.6,0.5,181
8.06,0,1020,0.721,1.36,1.1,1,1.2,1.6,0.5,177.7
12.04,8.29,1530.9,0.96,0.627,0.86,3,2.4,1.6,0.5,165.9
9.1,3.1,1055,0.95,0.583,1.06,2,1,1.7,0.2,165
8.42,1.64,1949,1.133,0.845,0.917,1,2,1.6,0.1,159.9
18.15,3.51,648.22,0.32,4.516,1.01,2,2,1.8,0.1,156.54
3.9,9.7,844,0.41,3.419,0.99,1,1.25,2,0.2,154.5
6.1,7.2,1843,1.1,0.447,1.01,2,1,1.6,1,153.3
11.92,0,2228,1.07,1.488,1.5,1,2,1.75,0.2,153
12.04,8.29,1530.9,0.96,0.627,0.86,3,2.4,1.6,1,152.7
9.1,3.1,1055,0.95,0.583,1.06,2,1,1.7,0.5,150
8.06,0,1020,0.721,1.36,1.1,1,1.2,1.6,1,148.5
12.04,8.29,1530.9,0.96,0.627,0.86,3,2.4,1.6,2,141.1
8.42,1.64,1949,1.133,0.845,0.917,1,2,1.6,0.2,139.2
6.1,7.2,1843,1.1,0.447,1.01,2,1,1.6,2,137.2
9.1,3.1,1055,0.95,0.583,1.06,2,1,1.7,1,137
8.2,5.3,879,0.447,1.54,2.27,2,1,1.6,0.1,136.8
8.06,0,1020,0.721,1.36,1.1,1,1.2,1.6,2,135.5
20.61,3.95,544.83,0.26,4.783,0.96,2,2,1.8,0.1,134.5
12.04,8.29,1530.9,0.96,0.627,0.86,3,2.4,1.6,5,134.2
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,0.1,133.7
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,0.2,132.9
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,0.1,132.7
18.15,3.51,648.22,0.32,4.516,1.01,2,2,1.8,0.2,132.3
3.9,9.7,844,0.41,3.419,0.99,1,1.25,2,0.5,131.5
3.9,9.7,844,0.41,3.419,0.99,1,1.25,2,1,130.4
6.1,7.2,1843,1.1,0.447,1.01,2,1,1.6,3,130.2
12.04,8.29,1530.9,0.96,0.627,0.86,3,2.4,1.6,10,128.6
