O,N,B,S,P,SSA,PV,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,DV,Current density,Cs
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20,9.5
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Ti foil,2,1.8,4,17
6.15,13.57,0,0,0,1274.8,0.551,2.51,1.97,2M ZnSO4,stainless-steel mesh,1,1.6,60,17.4
8.2,0,0,0,0,1500,0.78,2.25,1.01,1M ZnSO4,stainless-steel mesh,2,1.6,100,18.2
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Ti foil,2,1.8,3,19.7
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10,19.8
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,20,21.4
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,20,21.6
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20,23.3
6.15,13.57,0,0,0,1274.8,0.551,2.51,1.97,2M ZnSO4,stainless-steel mesh,1,1.6,30,23.9
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Ti foil,2,1.8,2,24.5
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,15,24.7
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,10,26.7
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,10,26.9
6.3,0,0,0,0,1886,0.93,2.444,1.04,1M ZnSO4,stainless-steel mesh,2,1.6,100,28.4
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,100,28.7
4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless-steel ,1,1.6,80,28.8
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,7,30.2
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,5,31.4
4.3,0,0,0,0,1655,0.81,2.522,1.05,1M ZnSO4,stainless-steel mesh,2,1.6,100,31.6
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.2,1.7,5,32.1
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,5,33.2
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,50,33.3
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.2,1.7,5,33.7
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5,34.2
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Ti foil,2,1.8,1,34.5
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.2,1.7,4,34.6
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,4,34.8
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,100,35.4
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.2,1.7,5,36.5
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,3,36.5
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,2,36.5
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.2,1.7,4,36.7
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,37.4
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.2,1.7,3,38.1
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10,38.5
4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless-steel ,1,1.6,60,38.7
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,2,38.9
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,20,38.9
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,50,39.1
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.2,1.7,4,39.7
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,100,39.7
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,1,40
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.2,1.7,3,40.3
6.3,0,0,0,0,1886,0.93,2.444,1.04,1M ZnSO4,stainless-steel mesh,2,1.6,50,40.9
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2,40.9
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,20,41.1
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Ti foil,2,1.8,4,41.5
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,2,41.6
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,20,41.6
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,15,41.6
4.3,0,0,0,0,1655,0.81,2.522,1.05,1M ZnSO4,stainless-steel mesh,2,1.6,50,41.8
9.71,5.41,0,0,0,670,0.72,3.071,1.89,3M Zn(CF3SO3)2,stainless-steel mesh,,1.7,50,42.2
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,10,42.3
6.15,13.57,0,0,0,1274.8,0.551,2.51,1.97,2M ZnSO4,stainless-steel mesh,1,1.6,20,42.4
7.94,0,0,0,0,761.62,0.9097,1.224,0.98,2M ZnSO4,Ti foil,1.2,1.6,0.1,42.8
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.2,1.7,2,43.1
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.2,1.7,3,43.3
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,1,43.4
9.71,5.41,0,0,0,670,0.72,3.071,1.89,3M Zn(CF3SO3)2,stainless-steel mesh,,1.7,40,43.7
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,20,43.7
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,15,43.7
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,0.5,43.8
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,10,44.5
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,44.8
8.2,0,0,0,0,1500,0.78,2.25,1.01,1M ZnSO4,stainless-steel mesh,2,1.6,50,44.9
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Ti foil,2,1.8,0.5,45
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.2,1.7,2,45.1
