Index,Cathode,O,N,B,S,P,SSA,PV,mic/mes,ID/IG,Elyte,Current collector,Active mass loading,PW,CD,Cs
14,N-3D-PCN,7.15,3.52,0,0,0,1546.1,0.575,14.558,1.029,2M ZnSO4,carbon cloth,1,1.6,0.1,85
15,BN-3D-PCN,8.12,3.79,3.66,0,0,1315.2,0.512,9.33,1.038,2M ZnSO4,carbon cloth,1,1.6,0.1,114
21,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,90.2
22,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,86.3
23,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,79.9
24,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1,70.3
25,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2,64.8
26,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5,51.5
27,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10,38.5
28,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20,23.3
29,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,69.1
30,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,60.1
31,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,56.4
32,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1,47.4
33,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2,40.9
34,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5,34.2
35,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10,19.8
36,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20,9.5
37,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,136.3
38,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,126.4
39,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,120.3
40,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1,112.6
41,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2,108.4
42,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5,100.4
43,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10,94.5
44,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.17,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20,86.5
53,N-HPC,8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,0.1,136.8
54,N-HPC,8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,0.5,110.9
55,N-HPC,8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,1,102.6
56,N-HPC,8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,5,76.1
57,N-HPC,8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,10,66.5
58,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.05,109.7
59,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.1,93.3
60,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.2,84.6
61,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.3,81
62,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.5,76.3
63,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,1,71.6
64,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,2,67.6
65,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,3,65.1
66,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,5,62.4
67,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,10,59.5
68,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,15,58.4
69,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,20,57.1
70,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,133.7
71,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,102.5
72,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,84.3
73,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,1,75
74,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,2,69.1
75,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,5,61.7
76,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,10,56.6
77,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,20,51.9
78,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,50,45.6
79,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,100,39.7
80,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,200,30.6
81,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,104.4
82,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,83
83,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,69.7
84,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,1,61.7
85,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,2,56
86,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,5,50.4
87,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,10,46.6
88,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,20,43.7
89,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,50,39.1
90,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,100,35.4
91,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,200,30.4
92,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,92.4
93,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,73.1
