O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,90.2
21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,86.3
21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,79.9
21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1,70.3
21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2,64.8
21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5,51.5
21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10,38.5
21.55,3.29,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20,23.3
8.2,5.3,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,0.1,136.8
8.2,5.3,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,0.5,110.9
8.2,5.3,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,1,102.6
8.2,5.3,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,5,76.1
8.2,5.3,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel foil,1,1.6,10,66.5
11.5,6.7,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,133.7
11.5,6.7,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,102.5
11.5,6.7,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,84.3
11.5,6.7,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,1,75
11.5,6.7,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,2,69.1
11.5,6.7,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,5,61.7
11.5,6.7,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,10,56.6
