Index,Anode,Cathode,O,N,B,S,P,Specific surface area,Pore volume,Vmes/mac,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
1,Zn foil,N-3D-PCN,7.15,3.52,0,0,0,1546.1,0.5753,0.03714,1.029,2,2,1.25,1.6,0.1,85
2,Zn foil,BN-3D-PCN,8.12,3.79,3.66,0,0,1315.2,0.5116,0.05106,1.038,2,2,1.25,1.6,0.1,114
3,Zn foil,BN-3D-PCN,8.12,3.79,3.66,0,0,1315.2,0.5116,0.05106,1.038,6,2,1.25,1.6,0.2,256
4,Zn foil,BN-3D-PCN,8.12,3.79,3.66,0,0,1315.2,0.5116,0.05106,1.038,6,2,1.25,1.6,10,158
5,Zn foil,N-HPC,8.2,5.3,0,0,0,879,0.447,0.176,2.27,2,1,1,1.6,0.1,136.8
6,Zn foil,N-HPC,8.2,5.3,0,0,0,879,0.447,0.176,2.27,2,1,1,1.6,0.5,110.9
7,Zn foil,N-HPC,8.2,5.3,0,0,0,879,0.447,0.176,2.27,2,1,1,1.6,1,102.6
8,Zn foil,N-HPC,8.2,5.3,0,0,0,879,0.447,0.176,2.27,2,1,1,1.6,5,76.1
9,Zn foil,N-HPC,8.2,5.3,0,0,0,879,0.447,0.176,2.27,2,1,1,1.6,10,66.5
10,Zn foil,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.94,0.95,2,3,2,1.6,0.05,109.66
11,Zn foil,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.94,0.95,2,3,2,1.6,20,71.71764
12,Zn foil,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.88,0.964,1,1,2,1.6,0.1,133.7777778
13,Zn foil,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.88,0.964,1,1,2,1.6,200,30.62222222
14,Zn foil,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.73,0.962,1,1,2,1.6,0.1,104.4444444
15,Zn foil,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.65,0.958,1,1,2,1.6,0.1,92.44444444
16,Zn foil,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,0.1,204.7
17,Zn foil,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,0.2,181.5
18,Zn foil,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,0.5,165.9
19,Zn foil,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,1,152.7
20,Zn foil,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,2,141.1
21,Zn foil,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,5,134.2
22,Zn foil,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,10,128.6
23,Zn foil,SMC-700,20.61,3.95,0,0,0,544.83,0.26,0.046,0.96,2,4,2,1.8,0.1,134.5
24,Zn foil,SMC-800,18.15,3.51,0,0,0,648.22,0.32,0.062,1.01,2,4,2,1.8,0.1,156.54
25,Zn foil,SMC-800,18.15,3.51,0,0,0,648.22,0.32,0.062,1.01,2,4,2,1.8,0.2,132.3
26,Zn foil,SMC-800,18.15,3.51,0,0,0,648.22,0.32,0.062,1.01,2,4,2,1.8,0.3,111.55
27,Zn foil,SMC-800,18.15,3.51,0,0,0,648.22,0.32,0.062,1.01,2,4,2,1.8,0.4,105.4
