O,N,B,S,P,SSA,Vt,Vmes/mac,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
7.15,3.52,0.0,0.0,0.0,1546.1,0.5753,0.03714,1.029,2,2,1.25,1.6,0.1,85.0
8.12,3.79,3.66,0.0,0.0,1315.2,0.5116,0.05106,1.038,2,2,1.25,1.6,0.1,114.0
8.12,3.79,3.66,0.0,0.0,1315.2,0.5116,0.05106,1.038,6,2,1.25,1.6,0.2,256.0
8.12,3.79,3.66,0.0,0.0,1315.2,0.5116,0.05106,1.038,6,2,1.25,1.6,10.0,158.0
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.176,2.27,2,1,1.0,1.6,0.1,136.8
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.176,2.27,2,1,1.0,1.6,0.5,110.9
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.176,2.27,2,1,1.0,1.6,1.0,102.6
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.176,2.27,2,1,1.0,1.6,5.0,76.1
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.176,2.27,2,1,1.0,1.6,10.0,66.5
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.94,0.95,2,3,2.0,1.6,0.05,109.66
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.94,0.95,2,3,2.0,1.6,20.0,71.71764
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.88,0.964,1,1,2.0,1.6,0.1,133.7777778
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.88,0.964,1,1,2.0,1.6,200.0,30.62222222
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.73,0.962,1,1,2.0,1.6,0.1,104.4444444
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.65,0.958,1,1,2.0,1.6,0.1,92.44444444
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,0.1,204.7
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,0.2,181.5
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,0.5,165.9
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,1.0,152.7
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,2.0,141.1
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,5.0,134.2
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.59,0.86,3,5,2.4,1.6,10.0,128.6
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.046,0.96,2,4,2.0,1.8,0.1,134.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,0.1,156.54
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,0.2,132.3
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,0.3,111.55
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,0.4,105.4
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,0.5,98.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,1.0,86.8
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,2.0,70.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,3.0,59.2
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.062,1.01,2,4,2.0,1.8,4.0,51.8
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.014,1.08,2,4,2.0,1.8,0.1,84.56
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.43,1.5,1,1,2.0,1.75,0.2,153.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.43,1.5,1,1,2.0,1.75,0.5,125.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.43,1.5,1,1,2.0,1.75,1.0,110.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.43,1.5,1,1,2.0,1.75,2.0,98.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.43,1.5,1,1,2.0,1.75,5.0,84.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.43,1.5,1,1,2.0,1.75,10.0,75.0
6.96,0.0,0.0,0.0,0.0,829.0,0.49,0.31,0.852,1,3,2.0,1.6,0.5,93.3
6.96,0.0,0.0,0.0,0.0,829.0,0.49,0.31,0.852,1,3,2.0,1.6,20.0,53.6
5.5,2.53,0.0,0.0,0.0,947.0,0.54,0.27,0.855,1,3,2.0,1.6,0.5,117.9
5.5,2.53,0.0,0.0,0.0,947.0,0.54,0.27,0.855,1,3,2.0,1.6,20.0,71.0
3.67,0.0,0.0,0.0,2.71,1175.0,0.71,0.3,0.858,1,3,2.0,1.6,0.5,136.2
3.67,0.0,0.0,0.0,2.71,1175.0,0.71,0.3,0.858,1,3,2.0,1.6,20.0,75.9
10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.33,0.856,1,3,2.0,1.6,0.5,165.9
10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.33,0.856,1,3,2.0,1.6,20.0,110.9
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.319,0.999,1,1,2.0,1.6,0.1,120.0
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.614,0.917,1,1,2.0,1.6,0.1,160.0
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.614,0.917,1,1,2.0,1.6,20.0,93.77777778
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.614,0.917,1,1,10.0,1.6,0.1,144.8888889
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.614,0.917,1,1,10.0,1.6,20.0,64.44444444
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,1.052,0.872,1,1,2.0,1.6,0.1,114.6666667
4.5,14.17,0.0,0.0,0.0,1190.9,0.833,0.193,0.91,2,1,2.0,1.6,0.5,113.6
4.5,14.17,0.0,0.0,0.0,1190.9,0.833,0.193,0.91,2,1,2.0,1.6,1.0,101.4222222
4.5,14.17,0.0,0.0,0.0,1190.9,0.833,0.193,0.91,2,1,2.0,1.6,2.0,88.31111111
4.5,14.17,0.0,0.0,0.0,1190.9,0.833,0.193,0.91,2,1,2.0,1.6,5.0,72.13333333
4.5,14.17,0.0,0.0,0.0,1190.9,0.833,0.193,0.91,2,1,2.0,1.6,10.0,63.37777778
4.5,14.17,0.0,0.0,0.0,1190.9,0.833,0.193,0.91,2,1,2.0,1.6,20.0,56.97777778
4.5,14.17,0.0,0.0,0.0,1190.9,0.833,0.193,0.91,2,1,2.0,1.6,50.0,45.11111111
6.99,1.59,0.0,0.0,0.0,2465.9,1.29,0.61,0.912,2,3,2.0,1.8,0.5,108.5
6.99,1.59,0.0,0.0,0.0,2465.9,1.29,0.61,0.912,2,3,2.0,1.8,1.0,60.8
6.99,1.59,0.0,0.0,0.0,2465.9,1.29,0.61,0.912,2,3,2.0,1.8,10.0,44.5
6.99,1.59,0.0,0.0,0.0,2465.9,1.29,0.61,0.912,2,3,2.0,1.8,20.0,41.6
