Fold,R2,MAE,MAPE,RMSE
1,0.9852342116717093,3.489920770263672,0.052811012999912775,4.951231456436211
2,0.9838455786434094,2.9528077087402353,0.03658613004363588,3.738603807406628
3,0.9852391431577256,3.686495178222655,0.06298549940025219,4.751610147110163
4,0.9778971175797149,3.8188323455810553,0.05067215990280455,5.0737089902921255
5,0.9512071625852204,5.211263809204102,0.05884398107263209,8.96027229341497
6,0.9109597491909257,7.278111923217773,0.07451260020543621,11.027850052469816
7,0.8966046677912098,6.671989208984375,0.0793467536939908,10.841260921968514
8,0.9541375928698141,5.083476251220703,0.055233227277271604,6.901663999779794
9,0.9852147356074878,3.756436752319337,0.046231118381688766,4.605227102635145
10,0.9444022542447907,4.8384807128906235,0.07515419477965403,7.522411683546843
Average,0.9574742213342008,4.678781466064453,0.059237667775727885,6.837384045506022
