Fold,R2,MAE,MAPE,RMSE
1,0.9559620544281371,5.230380554199221,0.06108826667850553,8.63220230561352
2,0.9758669505408752,3.9167429199218735,0.0607867901725232,5.016054915821316
3,0.9370092823994712,6.741827981567384,0.06381718669509082,10.409570458222813
4,0.963544353857211,4.262250244140626,0.06094206418802091,6.574193121553959
5,0.919897565528034,4.766563171386719,0.07998714854725292,7.672970531534688
6,0.9661228380012283,3.2642731719970697,0.05609863651105873,5.097271568501827
7,0.9666167332940353,4.522281463623048,0.05189463647570222,6.877085440311718
8,0.9764443597334784,4.710341583251955,0.0625953520614413,6.382345594616041
9,0.9787445739184789,3.8262023925781254,0.05996143673136885,4.613498619290421
10,0.9424023367139385,5.340414343261719,0.05474939732893594,9.218282701981089
Average,0.9582611048414889,4.658127782592773,0.061192091538990044,7.049347525744738
