Index,Cathode,O,N,B,S,P,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,Current collector,mact,DV,I/m,Cs
1,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,4,1,2.5,1.8,0.1,90.2
2,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,4,1,2.5,1.8,0.25,86.3
3,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,4,1,2.5,1.8,0.5,79.9
4,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,4,1,2.5,1.8,1,70.3
5,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,4,1,2.5,1.8,2,64.8
6,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,4,1,2.5,1.8,5,51.5
7,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,4,1,2.5,1.8,10,38.5
8,NPC,21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,4,1,2.5,1.8,20,23.3
9,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,4,1,2.5,1.8,0.1,69.1
10,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,4,1,2.5,1.8,0.25,60.1
11,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,4,1,2.5,1.8,0.5,56.4
12,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,4,1,2.5,1.8,1,47.4
13,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,4,1,2.5,1.8,2,40.9
14,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,4,1,2.5,1.8,5,34.2
15,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,4,1,2.5,1.8,10,19.8
16,NSPC,17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,4,1,2.5,1.8,20,9.5
17,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.170 ,0.89,4,1,2.5,1.8,0.1,136.3
18,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.170 ,0.89,4,1,2.5,1.8,0.25,126.4
19,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.170 ,0.89,4,1,2.5,1.8,0.5,120.3
20,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.170 ,0.89,4,1,2.5,1.8,1,112.6
21,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.170 ,0.89,4,1,2.5,1.8,2,108.4
22,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.170 ,0.89,4,1,2.5,1.8,5,100.4
23,NSPCK,16.08,2.82,0,1.78,0,1384.7,0.97,0.170 ,0.89,4,1,2.5,1.8,10,94.5
