GBR-loo.py
Average MAE: 5.044292513414607
Average RMSE: 5.044292513414607
Average MAPE: 8.552253337953927%

       Fold        R2        MAE       MAPE       RMSE
0         1  0.974924   3.885660  55.366208   5.721001
1         2  0.920490   5.649774   5.054451  10.479102
2         3  0.976497   3.386297   4.136138   6.212708
3         4  0.842372   6.502174  11.576980  14.157201
4         5  0.981605   3.515067   6.015663   4.822217
5         6  0.960883   4.276886   6.541684   7.215738
6         7  0.871143   4.134152   4.032511  10.759609
7         8  0.990349   3.183383   4.392041   4.439936
8         9  0.689076  10.156001  10.036027  19.889868
9        10  0.919801   8.259926   6.981617  14.228461
10  Average  0.912714   5.294932  11.413332   9.792584
